"","L","Z","A","Y"
"836",0,17,12,3600
"837",0,16,16,7000
"838",1,0,12,17398
"839",1,2,12,3500
"840",1,346,12,6000
"841",1,19,10,1400
"842",1,13,16,0
"843",0,13,10,0
"844",0,17,12,0
"845",1,28,14,9000
"846",0,39,12,0
"847",1,13,12,637
"848",1,13,14,10000
"849",0,346,16,0
"850",1,19,9,5588
"851",1,19,10,1712
"852",1,2,8,2000
"853",0,39,17,1400
"854",1,2,12,2000
"855",1,1,12,7000
"856",0,13,11,6000
"857",0,13,12,6000
"858",0,1,11,50
"859",1,37,9,2400
"860",1,2,12,400
"861",0,39,12,0
"862",1,39,12,15850
"863",0,13,10,0
"864",1,39,12,0
"865",0,1,11,100
"866",0,19,12,0
"867",0,16,12,4000
"868",0,39,12,10000
"869",1,15,15,2000
"870",1,17,12,4913
"871",0,2,8,0
"872",0,1,12,272
"873",1,13,10,4000
"874",1,17,12,690
"875",0,40,13,5680
"876",1,13,14,1470
"877",0,19,10,0
"878",1,13,12,2000
"879",0,16,14,3906
"880",0,19,12,22274
"881",1,28,8,6240
"882",0,0,12,0
"883",0,9,9,42
"884",0,1,12,5400
"885",1,13,16,4000
"886",1,9,12,0
"887",0,16,12,6000
"888",1,1,11,9100
"889",0,9,12,0
"890",1,2,10,0
"891",1,13,12,3867
"892",0,9,12,6040
"893",0,17,13,5314
"894",0,0,12,4000
"895",0,13,10,0
"896",1,13,9,2000
"897",1,13,10,0
"898",1,28,12,0
"899",0,17,15,3896
"900",0,0,12,3150
"901",1,13,12,2300
"902",1,19,9,7680
"903",1,13,7,8000
"904",1,19,16,2526
"905",0,17,9,0
"906",0,13,8,1900
"907",0,13,10,3000
"908",0,40,12,0
"909",1,13,12,9000
"910",0,13,12,6000
"911",0,1,11,0
"912",1,39,12,8000
"913",1,9,10,800
"914",0,19,12,0
"915",1,9,14,13000
"916",1,15,12,1232
"917",1,28,12,140
"918",1,19,10,0
"919",0,40,12,3000
"920",0,19,8,1152
"921",1,0,11,0
"922",0,13,12,100
"923",0,13,12,0
"924",1,2,12,5000
"925",0,1,12,0
"926",0,0,12,5156
"927",0,19,12,0
"928",0,13,12,0
"929",0,28,12,2000
"930",0,39,11,1600
"931",0,19,8,289
"932",0,16,8,2505
"933",0,17,12,0
"934",0,13,14,1216
"935",1,13,14,45000
"936",1,39,12,5000
"937",0,9,8,0
"938",0,9,13,9000
"939",0,28,14,0
"940",0,13,16,8640
"941",0,16,11,98
"942",1,9,12,0
"943",0,13,12,8400
"944",0,19,12,8000
"945",0,13,8,14000
"946",1,2,12,3000
"947",1,16,13,13000
"948",0,39,9,1614
"949",1,15,12,2900
"950",0,13,8,900
"951",0,39,9,0
"952",0,13,11,1200
"953",0,17,12,3132
"954",1,2,12,5500
"955",1,13,9,5000
"956",1,16,16,0
"957",1,1,11,4000
"958",1,39,14,14000
"959",0,0,10,2400
"960",0,19,14,85
"961",1,16,11,2482
"962",0,1,8,0
"963",0,9,13,2400
"964",1,13,10,0
"965",1,1,11,0
"966",1,13,13,2870
"967",1,16,10,4000
"968",0,0,12,2400
"969",0,13,12,1200
"970",1,39,12,7000
"971",1,346,12,5200
"972",1,15,12,1000
"973",1,1,12,3000
"974",0,1,12,4650
"975",0,13,12,7800
"976",0,16,12,4053
"977",0,13,17,6000
"978",0,1,12,0
"979",0,13,12,2079
"980",1,1,12,15250
"981",0,19,7,0
"982",0,17,12,0
"983",1,16,11,18000
"984",0,0,12,0
"985",1,9,12,1800
"986",0,15,17,0
"987",1,346,11,19500
"988",1,346,10,9368
"989",0,40,12,0
"990",1,39,10,1000
"991",1,19,18,5000
"992",0,9,12,10704
"993",1,1,14,7000
"994",1,28,12,753
"995",1,17,12,800
"996",0,9,9,0
"997",0,16,14,0
"998",1,37,14,2000
"999",0,17,10,0
"1000",0,19,12,0
"1001",0,39,12,9677
"1002",0,19,11,1600
"1003",1,1,12,6444
"1004",1,15,12,1200
"1005",1,5,12,2600
"1006",0,2,17,11921
"1007",0,37,12,500
"1008",1,1,11,3000
"1009",0,19,13,0
"1010",0,9,12,0
"1011",0,13,12,0
"1012",0,13,13,7200
"1013",1,39,12,26000
"1014",0,13,12,3840
"1015",0,15,13,500
"1016",0,19,8,1648
"1017",0,13,13,2500
"1018",1,1,9,300
"1019",0,15,12,0
"1020",1,28,11,0
"1021",0,13,12,6390
"1022",1,13,12,10000
"1023",0,39,12,7000
"1024",1,39,12,6000
"1025",1,13,8,7600
"1026",1,15,12,300
"1027",1,39,12,11477
"1028",0,9,12,1517
"1029",1,19,12,2700
"1030",1,13,9,7500
"1031",0,1,12,2328
"1032",1,39,15,404
"1033",0,1,10,0
"1034",0,13,12,2000
"1035",0,17,12,0
"1036",1,9,12,0
"1037",0,346,14,5000
"1038",1,39,12,4000
"1039",1,2,12,900
"1040",1,39,12,5000
"1041",0,13,12,7000
"1042",0,15,12,0
"1043",1,13,12,10000
"1044",0,13,12,3000
"1045",0,13,8,733
"1046",0,13,12,0
"1047",0,28,13,13212
"1048",1,39,9,0
"1049",0,2,12,0
"1050",1,13,14,8000
"1051",1,17,13,0
"1052",1,19,11,20000
"1053",0,9,9,0
"1054",1,39,11,6668
"1055",1,13,10,1000
"1056",0,1,9,2400
"1057",0,13,8,0
"1058",1,13,14,18000
"1059",1,13,13,3000
"1060",0,2,10,0
"1061",1,9,12,0
"1062",0,9,12,1576
"1063",1,9,12,8800
"1064",0,13,12,2150
"1065",0,39,11,5873
"1066",1,13,12,12000
"1067",0,28,10,0
"1068",0,17,11,0
"1069",0,15,11,375
"1070",1,28,11,0
"1071",1,2,14,1100
"1072",1,13,12,5130
"1073",1,13,11,400
"1074",0,39,12,3840
"1075",0,5,9,299
"1076",1,13,11,2350
"1077",1,39,17,2100
"1078",1,5,10,1300
"1079",0,39,11,4500
"1080",0,37,10,0
"1081",0,17,11,800
"1082",0,13,12,606
"1083",0,16,12,4572
"1084",0,19,8,0
"1085",1,19,11,2300
"1086",1,9,11,364
"1087",0,39,12,3000
"1088",1,13,12,3500
"1089",1,9,13,0
"1090",0,28,11,0
"1091",1,0,12,8060
"1092",1,13,12,12000
"1093",0,9,8,0
"1094",0,1,10,5800
"1095",0,13,11,9800
"1096",1,16,12,5571
"1097",0,15,12,3284
"1098",0,13,8,0
"1099",1,15,17,0
"1100",1,1,8,0
"1101",0,17,12,3000
"1102",1,19,8,0
"1103",1,13,12,4000
"1104",0,16,14,500
"1105",1,13,12,14500
"1106",0,13,12,2240
"1107",0,0,13,0
"1108",1,9,12,174
"1109",0,1,12,3000
"1110",1,19,12,4950
"1111",1,13,12,2000
"1112",1,19,11,0
"1113",0,17,12,1017
"1114",0,13,11,4025
"1115",0,13,14,1000
"1116",1,17,11,1500
"1117",1,13,8,840
"1118",0,13,11,7200
"1119",1,28,14,9000
"1120",1,13,10,3300
"1121",0,13,13,0
"1122",1,0,10,124
"1123",0,40,12,500
"1124",0,39,12,0
"1125",1,16,10,3500
"1126",1,16,12,7500
"1127",0,16,8,8500
"1128",1,9,10,400
"1129",1,40,12,1600
"1130",1,13,12,13500
"1131",0,9,12,5000
"1132",0,0,12,3960
"1133",1,39,12,8000
"1134",0,17,10,1800
"1135",0,16,17,3000
"1136",0,17,11,864
"1137",0,19,9,0
"1138",0,1,12,400
"1139",0,13,11,19000
"1140",0,1,12,3600
"1141",1,13,12,18028
"1142",1,1,12,11000
"1143",1,28,12,0
"1144",0,17,17,5000
"1145",1,13,9,9000
"1146",1,16,11,8000
"1147",1,13,9,3000
"1148",0,0,12,4680
"1149",1,1,11,0
"1150",1,5,11,11336
"1151",1,19,11,1500
"1152",0,13,14,6000
"1153",1,40,14,400
"1154",0,1,12,2100
"1155",0,17,12,4000
"1156",0,13,11,0
"1157",1,5,9,0
"1158",0,39,13,4000
"1159",1,13,11,0
"1160",0,9,9,1000
"1161",0,9,12,0
"1162",0,13,12,4550
"1163",1,28,14,3000
"1164",0,19,10,0
"1165",1,13,12,14200
"1166",1,17,12,3131
"1167",0,15,12,0
"1168",0,15,10,0
"1169",1,5,9,2469
"1170",0,1,12,500
"1171",0,13,13,0
"1172",0,1,12,0
"1173",1,19,12,0
"1174",0,13,10,3000
"1175",1,15,11,2416
"1176",1,9,9,0
"1177",1,37,7,0
"1178",1,15,16,7000
"1179",1,5,12,4000
"1180",0,16,12,0
"1181",0,13,12,5000
"1182",0,37,12,180
"1183",0,13,9,1000
"1184",1,346,12,3000
"1185",0,13,12,0
"1186",0,15,16,0
